Nation;Year;Military_Personel;
China;1978;4500000;
China;1979;4600000;
China;1980;4650000;
China;1981;4750000;
China;1982;4350000;
China;1983;4100000;
China;1984;4100000;
China;1985;4100000;
China;1986;4030000;
China;1987;3530000;
China;1988;3780000;
China;1989;3900000;
China;1990;3500000;
China;1991;3200000;
China;1992;3160000;
China;1993;3030000;
China;1994;2930000;
China;1995;2930000;
China;1996;2650000;
China;1997;2600000;
China;1998;2600000;
China;1999;2400000;
China;2000;2810000;
China;2001;2310000;
China;2002;2270000;
China;2003;2250000;
China;2004;2253000;
China;2005;2255000;
China;2006;2255000;
China;2007;2255000;
China;2008;2105000;
China;2009;2185000;
China;2010;2285000;
China;2011;2285000;
China;2012;2285000;
China;2013;2285000;
China;2014;2333000;
China;2015;2333000;
China;2016;2333000;
