Nation ;Year;Nuclear_weapons-stockpile;
China;1978;190;
China;1979;195;
China;1980;205;
China;1981;210;
China;1982;216;
China;1983;218;
China;1984;220;
China;1985;222;
China;1986;224;
China;1987;226;
China;1988;228;
China;1989;230;
China;1990;232;
China;1991;234;
China;1992;234;
China;1993;234;
China;1994;234;
China;1995;234;
China;1996;234;
China;1997;232;
China;1998;232;
China;1999;232;
China;2000;232;
China;2001;235;
China;2002;235;
China;2003;235;
China;2004;235;
China;2005;235;
China;2006;235;
China;2007;235;
China;2008;235;
China;2009;240;
China;2010;240;
China;2011;240;
China;2012;240;
China;2013;250;
China;2014;250;
China;2015;260;
China;2016;260;
China;2017;270;
China;2018;280;
China;2019;290;
China;2020;350;
China;2021;370;
China;2022;390;
China;2023;410;
;;;
