Year ;USA;China;;;;;;;;;;;
1978;2060000;4500000;;;;;;;;;;;
1979;2033000;4600000;;;;;;;;;;;
1980;2050000;4650000;;;;;;;;;;;
1981;2101000;4750000;;;;;;;;;;;
1982;2168000;4350000;;;;;;;;;;;
1983;2201000;4100000;;;;;;;;;;;
1984;2222000;4100000;;;;;;;;;;;
1985;2244000;4100000;;;;;;;;;;;
1986;2269000;4030000;;;;;;;;;;;
1987;2280000;3530000;;;;;;;;;;;
1988;2250000;3780000;;;;;;;;;;;
1989;2240000;3900000;;;;;;;;;;;
1990;2180000;3500000;;;;;;;;;;;
1991;2110000;3200000;;;;;;;;;;;
1992;1920000;3160000;;;;;;;;;;;
1993;1810000;3030000;;;;;;;;;;;
1994;1710000;2930000;;;;;;;;;;;
1995;1620000;2930000;;;;;;;;;;;
1996;1570000;2650000;;;;;;;;;;;
1997;1530000;2600000;;;;;;;;;;;
1998;1510000;2600000;;;;;;;;;;;
1999;1490000;2400000;;;;;;;;;;;
2000;1366000;2810000;;;;;;;;;;;
2001;1368000;2310000;;;;;;;;;;;
2002;1414000;2270000;;;;;;;;;;;
2003;1427000;2250000;;;;;;;;;;;
2004;1450000;2253000;;;;;;;;;;;
2005;1474000;2255000;;;;;;;;;;;
2006;1546000;2255000;;;;;;;;;;;
2007;1506000;2255000;;;;;;;;;;;
2008;1498000;2105000;;;;;;;;;;;
2009;1540000;2185000;;;;;;;;;;;
2010;1580000;2285000;;;;;;;;;;;
2011;1564000;2285000;;;;;;;;;;;
2012;1569000;2285000;;;;;;;;;;;
2013;1520000;2285000;;;;;;;;;;;
2014;1492000;2333000;;;;;;;;;;;
2015;1433000;2333000;;;;;;;;;;;
2016;1381000;2333000;;;;;;;;;;;
