Nation;Year;Nuclear_weapons_stockpile;
United States;1978;24418;
United States;1979;24138;
United States;1980;24104;
United States;1981;23208;
United States;1982;22886;
United States;1983;23305;
United States;1984;23459;
United States;1985;23368;
United States;1986;23317;
United States;1987;23575;
United States;1988;23205;
United States;1989;22217;
United States;1990;21392;
United States;1991;19008;
United States;1992;13708;
United States;1993;11511;
United States;1994;10979;
United States;1995;10904;
United States;1996;11011;
United States;1997;10903;
United States;1998;10732;
United States;1999;10685;
United States;2000;10577;
United States;2001;10526;
United States;2002;10457;
United States;2003;10027;
United States;2004;8570;
United States;2005;8360;
United States;2006;7853;
United States;2007;5709;
United States;2008;5273;
United States;2009;5113;
United States;2010;5066;
United States;2011;4897;
United States;2012;4881;
United States;2013;4804;
United States;2014;4717;
United States;2015;4571;
United States;2016;4018;
United States;2017;3822;
United States;2018;3785;
United States;2019;3805;
United States;2020;3750;
United States;2021;3708;
United States;2022;3708;
United States;2023;3708;
